CustomerID,priority_rank,campaign_tier,segment,action,churn_risk,expected_clv,expected_return,roi_pct
14096.0,1,premium,Need Attention,Personal Call + 30% Discount + VIP Support,31.6%,$4729.96,$845.93,1691.9%
14096.0,2,premium,Promising,Personal Call + 30% Discount + VIP Support,31.6%,$4729.96,$845.93,1691.9%
14096.0,3,premium,Promising,Personal Call + 30% Discount + VIP Support,31.6%,$4729.96,$845.93,1691.9%
14096.0,4,premium,Promising,Personal Call + 30% Discount + VIP Support,31.6%,$4729.96,$845.93,1691.9%
14096.0,5,premium,Promising,Personal Call + 30% Discount + VIP Support,31.6%,$4729.96,$845.93,1691.9%
14096.0,6,premium,Promising,Personal Call + 30% Discount + VIP Support,31.6%,$4729.96,$845.93,1691.9%
14096.0,7,premium,Promising,Personal Call + 30% Discount + VIP Support,31.6%,$4729.96,$845.93,1691.9%
13209.0,8,premium,Need Attention,Personal Call + 30% Discount + VIP Support,65.1%,$1481.21,$528.34,1056.7%
13209.0,9,premium,Need Attention,Personal Call + 30% Discount + VIP Support,65.1%,$1481.21,$528.34,1056.7%
13209.0,10,premium,Need Attention,Personal Call + 30% Discount + VIP Support,65.1%,$1481.21,$528.34,1056.7%
13209.0,11,premium,Hibernating,Personal Call + 30% Discount + VIP Support,65.1%,$1481.21,$528.34,1056.7%
13209.0,12,premium,Hibernating,Personal Call + 30% Discount + VIP Support,65.1%,$1481.21,$528.34,1056.7%
13209.0,13,premium,Hibernating,Personal Call + 30% Discount + VIP Support,65.1%,$1481.21,$528.34,1056.7%
14415.0,14,premium,Need Attention,Personal Call + 30% Discount + VIP Support,41.5%,$1759.64,$387.84,775.7%
14415.0,15,premium,Need Attention,Personal Call + 30% Discount + VIP Support,41.5%,$1759.64,$387.84,775.7%
14415.0,16,premium,Need Attention,Personal Call + 30% Discount + VIP Support,41.5%,$1759.64,$387.84,775.7%
14415.0,17,premium,Need Attention,Personal Call + 30% Discount + VIP Support,41.5%,$1759.64,$387.84,775.7%
14415.0,18,premium,Hibernating,Personal Call + 30% Discount + VIP Support,41.5%,$1759.64,$387.84,775.7%
14415.0,19,premium,Hibernating,Personal Call + 30% Discount + VIP Support,41.5%,$1759.64,$387.84,775.7%
14415.0,20,premium,Hibernating,Personal Call + 30% Discount + VIP Support,41.5%,$1759.64,$387.84,775.7%
14415.0,21,premium,Promising,Personal Call + 30% Discount + VIP Support,41.5%,$1759.64,$387.84,775.7%
15856.0,22,premium,Need Attention,Personal Call + 30% Discount + VIP Support,33.8%,$1598.02,$273.85,547.7%
15856.0,23,premium,Need Attention,Personal Call + 30% Discount + VIP Support,33.8%,$1598.02,$273.85,547.7%
